Symbol,Date,Open,High,Low,Close,Volume,Sector,Index
,,JLHL.NS,JLHL.NS,JLHL.NS,JLHL.NS,JLHL.NS,,
JLHL,2023-09-18,973.0,1108.949951171875,970.0,1075.75,12824837,,NSE
JLHL,2023-09-20,1045.0,1088.699951171875,1030.0999755859375,1061.75,1484025,,NSE
JLHL,2023-09-21,1049.949951171875,1078.949951171875,1032.300048828125,1052.3499755859375,652460,,NSE
JLHL,2023-09-22,1055.0,1068.8499755859375,1047.949951171875,1063.800048828125,458605,,NSE
JLHL,2023-09-25,1065.0,1120.0,1049.800048828125,1078.0,776662,,NSE
JLHL,2023-09-26,1080.0,1111.9000244140625,1079.050048828125,1100.9000244140625,280826,,NSE
JLHL,2023-09-27,1100.6500244140625,1107.949951171875,1070.199951171875,1092.25,248053,,NSE
JLHL,2023-09-28,1092.949951171875,1123.5999755859375,1087.050048828125,1100.9000244140625,206452,,NSE
JLHL,2023-09-29,1120.0,1144.0,1070.050048828125,1076.050048828125,241694,,NSE
JLHL,2023-10-03,1077.949951171875,1097.449951171875,1054.3499755859375,1085.800048828125,251254,,NSE
JLHL,2023-10-04,1086.0,1120.0,1086.0,1110.6500244140625,255981,,NSE
JLHL,2023-10-05,1110.0,1138.5999755859375,1110.0,1124.699951171875,117981,,NSE
JLHL,2023-10-06,1127.0,1165.050048828125,1122.9000244140625,1154.25,134120,,NSE
JLHL,2023-10-09,1140.0,1140.0,1062.0999755859375,1082.0999755859375,198187,,NSE
JLHL,2023-10-10,1089.75,1098.800048828125,1056.0,1071.0,66397,,NSE
JLHL,2023-10-11,1079.949951171875,1089.0,1051.25,1055.949951171875,54819,,NSE
JLHL,2023-10-12,1055.949951171875,1082.0,1054.9000244140625,1073.550048828125,54870,,NSE
JLHL,2023-10-13,1076.9000244140625,1076.9000244140625,1049.0,1059.0,139060,,NSE
JLHL,2023-10-16,1059.0,1070.8499755859375,1046.5,1052.050048828125,41479,,NSE
JLHL,2023-10-17,1059.0,1059.5,1044.699951171875,1045.6500244140625,36254,,NSE
JLHL,2023-10-18,1044.6500244140625,1068.0,1044.6500244140625,1047.25,301348,,NSE
JLHL,2023-10-19,1045.550048828125,1059.0,1040.050048828125,1054.4000244140625,72324,,NSE
JLHL,2023-10-20,1045.5999755859375,1060.0,1025.0,1034.0999755859375,32483,,NSE
JLHL,2023-10-23,1030.0,1041.199951171875,995.4000244140625,1004.3499755859375,124536,,NSE
JLHL,2023-10-25,1014.9000244140625,1031.449951171875,1006.5499877929688,1021.5999755859375,343573,,NSE
JLHL,2023-10-26,1021.5999755859375,1033.800048828125,1001.0,1012.25,53385,,NSE
JLHL,2023-10-27,1022.0,1048.949951171875,1013.1500244140625,1029.6500244140625,39186,,NSE
JLHL,2023-10-30,1040.949951171875,1040.949951171875,1019.0,1022.8499755859375,25194,,NSE
JLHL,2023-10-31,1010.0,1049.699951171875,1010.0,1033.1500244140625,43961,,NSE
JLHL,2023-11-01,1033.1500244140625,1041.25,976.9000244140625,987.1500244140625,110080,,NSE
JLHL,2023-11-02,1013.0,1014.7999877929688,992.5499877929688,1010.5999755859375,74090,,NSE
JLHL,2023-11-03,1021.9500122070312,1024.949951171875,1005.0,1018.0999755859375,33299,,NSE
JLHL,2023-11-06,1018.0499877929688,1026.050048828125,1000.0,1003.4000244140625,54363,,NSE
JLHL,2023-11-07,994.4000244140625,1040.0,994.4000244140625,1023.6500244140625,77310,,NSE
JLHL,2023-11-08,1020.0499877929688,1033.550048828125,1003.0,1007.4000244140625,47257,,NSE
JLHL,2023-11-09,1015.0,1028.699951171875,1002.7000122070312,1017.7999877929688,51102,,NSE
JLHL,2023-11-10,1006.0999755859375,1038.699951171875,1006.0999755859375,1028.8499755859375,71006,,NSE
JLHL,2023-11-13,1035.5999755859375,1038.0,992.5,997.1500244140625,74152,,NSE
JLHL,2023-11-15,1004.7999877929688,1019.1500244140625,996.0,1007.6500244140625,57395,,NSE
JLHL,2023-11-16,1008.4500122070312,1017.25,996.0,998.25,31099,,NSE
