Symbol,Date,Open,High,Low,Close,Volume,Sector,Index
,,SILVERIETF.NS,SILVERIETF.NS,SILVERIETF.NS,SILVERIETF.NS,SILVERIETF.NS,,
SILVERIETF,2022-01-31,66.5999984741211,66.5999984741211,63.0099983215332,63.279998779296875,383344,,NSE
SILVERIETF,2022-02-01,67.0,67.0,62.90999984741211,63.38999938964844,373973,,NSE
SILVERIETF,2022-02-02,63.400001525878906,63.95000076293945,63.31999969482422,63.790000915527344,240802,,NSE
SILVERIETF,2022-02-03,63.75,63.9900016784668,63.25,63.4900016784668,456153,,NSE
SILVERIETF,2022-02-04,63.88999938964844,66.4000015258789,63.20000076293945,63.2400016784668,482710,,NSE
SILVERIETF,2022-02-07,63.2400016784668,64.38999938964844,63.2400016784668,63.810001373291016,524705,,NSE
SILVERIETF,2022-02-08,64.19000244140625,64.19000244140625,63.810001373291016,64.0199966430664,884618,,NSE
SILVERIETF,2022-02-09,64.16000366210938,65.0,64.16000366210938,64.87000274658203,355003,,NSE
SILVERIETF,2022-02-10,65.48999786376953,65.48999786376953,64.70999908447266,65.05000305175781,498396,,NSE
SILVERIETF,2022-02-11,65.25,65.38999938964844,64.20999908447266,64.62999725341797,381274,,NSE
SILVERIETF,2022-02-15,67.29000091552734,67.29000091552734,65.30000305175781,65.56999969482422,520031,,NSE
SILVERIETF,2022-02-16,65.69000244140625,65.98999786376953,65.05000305175781,65.66999816894531,675847,,NSE
SILVERIETF,2022-02-17,65.58000183105469,66.80000305175781,65.5199966430664,66.31999969482422,609545,,NSE
SILVERIETF,2022-02-18,66.8499984741211,66.9800033569336,66.0,66.1500015258789,598061,,NSE
SILVERIETF,2022-02-21,65.3499984741211,66.9800033569336,65.3499984741211,65.69999694824219,269977,,NSE
SILVERIETF,2022-02-22,66.01000213623047,67.0,66.01000213623047,66.61000061035156,617451,,NSE
SILVERIETF,2022-02-23,66.61000061035156,68.0,66.1500015258789,66.33999633789062,415958,,NSE
SILVERIETF,2022-02-24,66.33999633789062,69.94999694824219,66.33999633789062,69.30000305175781,1155073,,NSE
SILVERIETF,2022-02-25,69.0,70.95999908447266,66.95999908447266,67.1500015258789,610123,,NSE
SILVERIETF,2022-02-28,67.66999816894531,68.4000015258789,66.5,67.41999816894531,603709,,NSE
SILVERIETF,2022-03-02,70.38999938964844,70.38999938964844,68.4000015258789,69.38999938964844,708015,,NSE
SILVERIETF,2022-03-03,69.38999938964844,70.0,69.05999755859375,69.56999969482422,588237,,NSE
SILVERIETF,2022-03-04,70.2699966430664,70.9000015258789,69.5199966430664,69.91999816894531,459216,,NSE
SILVERIETF,2022-03-07,70.80000305175781,73.1500015258789,70.80000305175781,72.6500015258789,1544184,,NSE
SILVERIETF,2022-03-08,72.6500015258789,74.4000015258789,71.30000305175781,72.94999694824219,560926,,NSE
SILVERIETF,2022-03-09,73.61000061035156,79.5,72.5,73.0999984741211,2062133,,NSE
SILVERIETF,2022-03-10,73.08999633789062,73.08999633789062,69.5999984741211,71.01000213623047,712387,,NSE
SILVERIETF,2022-03-11,72.0999984741211,72.30000305175781,71.19999694824219,71.66999816894531,190981,,NSE
SILVERIETF,2022-03-14,72.38999938964844,72.38999938964844,70.6500015258789,71.0199966430664,337711,,NSE
SILVERIETF,2022-03-15,71.12999725341797,71.12999725341797,69.19999694824219,69.47000122070312,418957,,NSE
SILVERIETF,2022-03-16,70.9000015258789,70.9000015258789,69.12999725341797,69.38999938964844,517709,,NSE
SILVERIETF,2022-03-17,69.38999938964844,70.5999984741211,69.38999938964844,69.94999694824219,275219,,NSE
SILVERIETF,2022-03-21,69.98999786376953,70.37999725341797,68.0,69.69000244140625,284606,,NSE
SILVERIETF,2022-03-22,70.69000244140625,70.69000244140625,69.0,69.62000274658203,357366,,NSE
SILVERIETF,2022-03-23,69.87999725341797,69.87999725341797,68.93000030517578,69.5999984741211,167431,,NSE
SILVERIETF,2022-03-24,69.5999984741211,70.19000244140625,69.0999984741211,69.75,228802,,NSE
SILVERIETF,2022-03-25,70.19999694824219,71.16999816894531,70.11000061035156,70.91000366210938,127439,,NSE
SILVERIETF,2022-03-28,71.4800033569336,71.4800033569336,69.37999725341797,69.68000030517578,819252,,NSE
SILVERIETF,2022-03-29,69.80000305175781,69.80000305175781,67.58999633789062,68.80999755859375,216973,,NSE
SILVERIETF,2022-03-30,70.80000305175781,70.80000305175781,68.55999755859375,69.0199966430664,113374,,NSE
SILVERIETF,2022-03-31,69.19999694824219,69.19999694824219,68.4000015258789,68.58000183105469,140316,,NSE
SILVERIETF,2022-04-01,68.94999694824219,69.44999694824219,68.76000213623047,69.19000244140625,284745,,NSE
SILVERIETF,2022-04-04,69.25,69.37999725341797,68.5,68.8499984741211,786981,,NSE
SILVERIETF,2022-04-05,69.25,69.25,68.25,68.37999725341797,552184,,NSE
SILVERIETF,2022-04-06,72.5,72.5,67.80000305175781,68.29000091552734,530051,,NSE
SILVERIETF,2022-04-07,68.29000091552734,68.44999694824219,68.0199966430664,68.41999816894531,524334,,NSE
SILVERIETF,2022-04-08,68.75,68.98999786376953,68.41000366210938,68.94000244140625,270186,,NSE
SILVERIETF,2022-04-11,69.0,69.69999694824219,68.91000366210938,69.38999938964844,465421,,NSE
SILVERIETF,2022-04-12,69.75,70.25,69.38999938964844,69.66999816894531,172382,,NSE
SILVERIETF,2022-04-13,69.75,71.44000244140625,69.75,71.4000015258789,629340,,NSE
SILVERIETF,2022-04-18,72.37999725341797,72.37999725341797,71.5,72.08000183105469,440587,,NSE
SILVERIETF,2022-04-19,72.37999725341797,72.58000183105469,71.75,72.1500015258789,605249,,NSE
SILVERIETF,2022-04-20,71.77999877929688,71.77999877929688,70.0999984741211,70.37000274658203,396346,,NSE
SILVERIETF,2022-04-21,70.87000274658203,70.87000274658203,69.76000213623047,70.0199966430664,243640,,NSE
SILVERIETF,2022-04-22,70.08999633789062,70.08999633789062,68.44999694824219,68.63999938964844,866882,,NSE
SILVERIETF,2022-04-25,68.48999786376953,68.48999786376953,67.4000015258789,67.5,1128212,,NSE
SILVERIETF,2022-04-26,68.0,68.0,67.18000030517578,67.5999984741211,1009441,,NSE
SILVERIETF,2022-04-27,67.5999984741211,67.5999984741211,66.87000274658203,67.13999938964844,573346,,NSE
SILVERIETF,2022-04-28,67.0,67.0,65.94000244140625,66.44000244140625,707452,,NSE
SILVERIETF,2022-04-29,66.97000122070312,66.97000122070312,66.44000244140625,66.91000366210938,1129280,,NSE
SILVERIETF,2022-05-04,64.94000244140625,64.94000244140625,64.4800033569336,64.69999694824219,1615028,,NSE
SILVERIETF,2022-05-05,65.5999984741211,66.29000091552734,65.11000061035156,65.43000030517578,690978,,NSE
SILVERIETF,2022-05-06,64.98999786376953,64.98999786376953,64.19999694824219,64.5999984741211,638694,,NSE
SILVERIETF,2022-05-09,64.9800033569336,64.9800033569336,64.0,64.12000274658203,287392,,NSE
SILVERIETF,2022-05-10,64.44999694824219,64.44999694824219,63.459999084472656,63.720001220703125,604839,,NSE
SILVERIETF,2022-05-11,63.5,63.5,62.45000076293945,63.290000915527344,505302,,NSE
SILVERIETF,2022-05-12,63.189998626708984,63.189998626708984,62.25,62.369998931884766,389797,,NSE
SILVERIETF,2022-05-13,62.0,62.0,60.959999084472656,61.220001220703125,648248,,NSE
SILVERIETF,2022-05-16,61.22999954223633,62.09000015258789,60.5,61.970001220703125,992128,,NSE
SILVERIETF,2022-05-17,62.5,63.52000045776367,62.5,63.38999938964844,190611,,NSE
SILVERIETF,2022-05-18,63.38999938964844,63.56999969482422,62.61000061035156,63.290000915527344,831513,,NSE
SILVERIETF,2022-05-19,63.0,63.0,62.20000076293945,62.75,857577,,NSE
SILVERIETF,2022-05-20,63.0,64.05000305175781,63.0,64.0,221081,,NSE
SILVERIETF,2022-05-23,63.88999938964844,64.38999938964844,63.5,64.18000030517578,208646,,NSE
SILVERIETF,2022-05-24,63.599998474121094,63.900001525878906,63.099998474121094,63.68000030517578,197185,,NSE
SILVERIETF,2022-05-25,64.0,64.19999694824219,63.5099983215332,63.650001525878906,190640,,NSE
SILVERIETF,2022-05-26,63.97999954223633,63.97999954223633,63.20000076293945,63.43000030517578,267065,,NSE
SILVERIETF,2022-05-27,63.83000183105469,64.55000305175781,63.81999969482422,64.52999877929688,218429,,NSE
SILVERIETF,2022-05-30,64.52999877929688,64.52999877929688,63.81999969482422,63.97999954223633,300741,,NSE
SILVERIETF,2022-05-31,63.81999969482422,63.81999969482422,63.31999969482422,63.58000183105469,231175,,NSE
