Symbol,Date,Open,High,Low,Close,Volume,Sector,Index
,,RUBYMILLS.NS,RUBYMILLS.NS,RUBYMILLS.NS,RUBYMILLS.NS,RUBYMILLS.NS,,
RUBYMILLS,2002-07-05,31.25,31.25,31.25,31.25,4,,NSE
RUBYMILLS,2002-07-08,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-09,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-10,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-11,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-12,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-15,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-16,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-17,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-18,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-19,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-22,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-23,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-24,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-25,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-26,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-29,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-30,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-07-31,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-01,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-02,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-05,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-06,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-07,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-08,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-09,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-12,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-13,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-14,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-15,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-16,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-19,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-20,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-21,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-22,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-23,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-26,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-27,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-28,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-29,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-08-30,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-02,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-03,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-04,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-05,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-06,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-09,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-10,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-11,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-12,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-13,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-16,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-17,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-18,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-19,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-20,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-23,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-24,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-25,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-26,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-27,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-09-30,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-01,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-02,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-03,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-04,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-07,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-08,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-09,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-10,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-11,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-14,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-15,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-16,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-17,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-18,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-21,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-22,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-23,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-24,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-25,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-28,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-29,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-30,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-10-31,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-01,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-04,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-05,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-06,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-07,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-08,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-11,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-12,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-13,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-14,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-15,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-18,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-19,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-20,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-21,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-22,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-25,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-26,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-27,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-28,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-11-29,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-12-02,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-12-03,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-12-04,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-12-05,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-12-06,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-12-09,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-12-10,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-12-11,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-12-12,31.25,31.25,31.25,31.25,0,,NSE
RUBYMILLS,2002-12-13,31.25,31.25,31.25,31.25,0,,NSE
